id,user_id,product_id
1,337,33
2,291,942
3,775,794
4,912,101
5,385,816
6,455,447
7,657,867
8,253,102
9,413,341
10,434,901
11,193,564
12,959,795
13,207,551
14,825,880
15,800,191
16,11,100
17,829,868
18,595,63
19,62,895
20,567,691
21,226,778
22,863,598
23,464,497
24,949,323
25,211,703
26,154,282
27,994,603
28,398,88
29,54,399
30,995,959
31,425,377
32,807,655
33,571,317
34,555,750
35,651,449
36,991,524
37,796,813
38,514,834
39,641,410
40,218,934
41,601,612
42,230,82
43,221,430
44,925,98
45,573,684
46,426,430
47,117,740
48,32,180
49,794,875
50,296,261
51,71,867
52,18,144
53,349,366
54,609,880
55,287,712
56,746,364
57,534,871
58,920,104
59,643,483
60,269,797
61,477,58
62,436,263
63,839,809
64,615,874
65,311,793
66,937,159
67,35,760
68,14,170
69,701,294
70,601,868
71,597,25
72,504,869
73,421,96
74,296,249
75,78,242
76,349,696
77,800,485
78,870,642
79,734,425
80,382,587
81,443,761
82,60,798
83,810,504
84,49,89
85,89,812
86,611,513
87,102,130
88,175,466
89,63,605
90,75,364
91,490,426
92,55,433
93,887,396
94,39,611
95,332,475
96,179,800
97,86,183
98,894,942
99,593,472
100,137,700
101,138,484
102,368,113
103,336,432
104,991,658
105,126,412
106,310,140
107,256,495
108,158,723
109,809,257
110,543,689
111,564,404
112,574,792
113,37,470
114,751,237
115,763,251
116,667,427
117,867,71
118,875,782
119,837,12
120,937,247
121,347,59
122,459,166
123,178,703
124,587,847
125,485,215
126,138,486
127,192,567
128,132,430
129,501,834
130,47,240
131,643,579
132,235,761
133,521,356
134,64,449
135,737,415
136,481,877
137,829,452
138,602,448
139,209,345
140,9,886
141,932,308
142,12,440
143,909,100
144,42,176
145,539,588
146,405,441
147,263,113
148,797,728
149,188,606
150,734,225
151,642,562
152,182,478
153,12,953
154,600,645
155,771,668
156,833,578
157,701,479
158,909,183
159,367,343
160,305,728
161,481,280
162,805,388
163,147,262
164,340,394
165,55,194
166,47,16
167,996,528
168,516,561
169,63,295
170,791,541
171,164,342
172,282,69
173,814,987
174,347,60
175,445,904
176,683,683
177,321,703
178,368,229
179,240,390
180,424,309
181,209,860
182,87,965
183,881,368
184,443,162
185,687,893
186,11,467
187,435,304
188,419,905
189,820,295
190,902,383
191,556,547
192,572,643
193,517,51
194,382,504
195,526,341
196,654,144
197,460,941
198,718,833
199,380,942
200,635,34
201,757,912
202,59,668
203,23,980
204,973,757
205,819,190
206,361,28
207,413,853
208,979,508
209,645,97
210,610,43
211,227,730
212,278,97
213,537,21
214,436,119
215,46,969
216,54,994
217,601,845
218,989,611
219,957,951
220,258,399
221,39,459
222,683,916
223,30,796
224,21,747
225,164,477
226,841,546
227,23,743
228,456,770
229,917,637
230,810,603
231,151,102
232,841,279
233,352,183
234,926,284
235,63,790
236,96,935
237,40,854
238,856,589
239,611,640
240,225,386
241,846,22
242,923,557
243,519,516
244,434,814
245,226,663
246,848,396
247,72,125
248,802,876
249,788,995
250,765,87
251,875,558
252,65,896
253,920,973
254,950,201
255,830,563
256,238,438
257,784,853
258,225,976
259,830,648
260,674,289
261,456,36
262,658,656
263,376,755
264,606,877
265,209,668
266,748,687
267,511,203
268,507,794
269,231,923
270,673,865
271,18,172
272,138,496
273,947,808
274,665,696
275,999,894
276,225,849
277,275,148
278,519,771
279,749,523
280,677,834
281,347,813
282,676,731
283,923,674
284,213,95
285,103,572
286,547,162
287,632,561
288,863,551
289,271,526
290,773,120
291,156,490
292,684,280
293,100,865
294,553,384
295,714,466
296,627,532
297,55,65
298,265,927
299,485,330
300,83,156
301,715,170
302,466,982
303,987,561
304,329,343
305,292,993
306,620,904
307,633,434
308,711,187
309,351,367
310,181,680
311,838,132
312,927,228
313,630,424
314,954,834
315,225,917
316,300,727
317,959,379
318,610,866
319,21,408
320,882,927
321,339,942
322,241,79
323,803,427
324,341,91
325,616,409
326,809,693
327,180,816
328,607,355
329,555,612
330,849,298
331,52,612
332,798,92
333,588,541
334,654,524
335,287,379
336,10,246
337,542,136
338,303,839
339,387,296
340,508,20
341,755,605
342,595,949
343,975,890
344,688,652
345,927,921
346,355,719
347,433,942
348,457,737
349,287,770
350,622,525
351,324,147
352,758,157
353,129,490
354,307,513
355,713,460
356,232,166
357,219,762
358,710,847
359,670,146
360,780,267
361,480,503
362,715,359
363,567,946
364,409,497
365,341,654
366,33,619
367,429,438
368,815,618
369,730,14
370,679,421
371,470,111
372,795,886
373,421,406
374,195,188
375,604,638
376,398,20
377,522,851
378,322,153
379,673,223
380,363,457
381,330,328
382,986,565
383,518,988
384,606,607
385,753,77
386,130,710
387,418,789
388,589,662
389,267,32
390,733,226
391,789,262
392,808,719
393,985,930
394,985,542
395,376,632
396,297,909
397,133,60
398,29,182
399,620,318
400,130,547
401,306,568
402,422,227
403,18,39
404,522,655
405,491,141
406,191,775
407,256,763
408,663,380
409,175,552
410,668,50
411,995,806
412,414,794
413,558,597
414,293,866
415,581,676
416,504,721
417,544,129
418,739,51
419,711,884
420,181,609
421,799,530
422,198,896
423,509,116
424,500,396
425,599,613
426,266,427
427,186,527
428,771,493
429,345,953
430,791,153
431,994,770
432,500,571
433,887,559
434,820,788
435,138,940
436,677,39
437,846,247
438,226,313
439,470,505
440,455,430
441,537,495
442,430,120
443,631,734
444,490,682
445,843,772
446,21,521
447,103,395
448,315,790
449,185,760
450,212,84
451,948,753
452,577,323
453,621,45
454,446,975
455,63,753
456,676,890
457,655,67
458,563,254
459,298,956
460,526,484
461,656,650
462,983,163
463,499,621
464,296,179
465,585,216
466,655,26
467,425,844
468,471,825
469,422,400
470,741,837
471,459,984
472,560,319
473,292,82
474,606,832
475,576,414
476,136,869
477,938,659
478,206,847
479,536,267
480,509,563
481,618,886
482,462,503
483,835,372
484,310,913
485,206,533
486,12,137
487,420,611
488,488,771
489,667,444
490,831,514
491,244,893
492,501,981
493,736,66
494,263,186
495,628,486
496,470,332
497,971,673
498,762,120
499,906,489
500,554,615
501,402,610
502,772,401
503,272,215
504,227,846
505,752,87
506,806,861
507,620,706
508,984,720
509,776,917
510,902,861
511,659,354
512,212,581
513,387,828
514,438,660
515,200,168
516,994,524
517,399,265
518,45,175
519,112,119
520,548,311
521,129,670
522,187,328
523,233,748
524,616,845
525,189,806
526,304,586
527,632,413
528,629,153
529,117,889
530,331,451
531,228,529
532,650,232
533,324,394
534,483,983
535,624,841
536,542,789
537,49,56
538,417,727
539,613,313
540,230,896
541,788,8
542,454,111
543,684,856
544,431,866
545,728,194
546,833,174
547,320,814
548,49,134
549,944,190
550,113,761
551,973,119
552,492,850
553,928,189
554,552,904
555,879,120
556,916,428
557,365,950
558,266,275
559,715,447
560,781,439
561,271,62
562,354,470
563,307,920
564,967,42
565,345,193
566,461,478
567,797,929
568,829,159
569,93,661
570,375,957
571,266,610
572,373,845
573,656,755
574,315,888
575,950,853
576,139,57
577,963,469
578,822,174
579,893,922
580,365,293
581,868,237
582,117,718
583,807,37
584,939,435
585,841,688
586,983,633
587,666,671
588,374,72
589,7,443
590,375,102
591,923,538
592,764,832
593,754,350
594,650,43
595,141,676
596,876,959
597,105,443
598,992,103
599,561,682
600,107,641
601,115,280
602,768,574
603,730,363
604,687,764
605,230,110
606,979,57
607,340,286
608,530,586
609,922,454
610,828,179
611,605,584
612,89,965
613,72,733
614,494,646
615,803,739
616,502,392
617,495,860
618,585,176
619,788,704
620,785,206
621,926,239
622,75,880
623,586,387
624,607,769
625,808,261
626,715,781
627,469,445
628,574,525
629,560,955
630,602,889
631,903,72
632,193,205
633,124,229
634,511,97
635,691,163
636,440,157
637,134,872
638,728,467
639,106,940
640,897,125
641,788,989
642,189,364
643,854,626
644,310,121
645,400,159
646,52,8
647,766,917
648,670,374
649,875,464
650,485,786
651,512,300
652,135,623
653,618,977
654,432,149
655,597,440
656,118,682
657,697,481
658,642,659
659,286,264
660,513,48
661,590,921
662,112,680
663,827,366
664,290,754
665,217,126
666,3,1
667,600,16
668,333,595
669,144,684
670,792,225
671,20,912
672,726,177
673,457,84
674,121,295
675,635,406
676,136,955
677,761,261
678,170,252
679,817,99
680,511,357
681,673,422
682,304,243
683,123,416
684,822,104
685,553,946
686,278,217
687,83,667
688,339,529
689,335,852
690,323,726
691,391,898
692,916,712
693,747,272
694,703,725
695,286,1
696,931,912
697,941,173
698,720,43
699,341,422
700,314,269
701,387,230
702,40,122
703,9,182
704,753,788
705,107,284
706,933,545
707,424,664
708,788,679
709,247,91
710,58,380
711,707,980
712,629,780
713,725,638
714,863,805
715,844,214
716,160,499
717,532,175
718,189,53
719,369,565
720,528,81
721,192,694
722,59,601
723,96,27
724,440,57
725,994,258
726,41,673
727,505,496
728,797,438
729,17,597
730,610,726
731,658,52
732,665,508
733,889,329
734,313,210
735,589,896
736,884,128
737,881,330
738,312,765
739,260,222
740,536,38
741,392,679
742,897,715
743,953,276
744,211,885
745,49,188
746,462,61
747,348,218
748,710,712
749,241,261
750,383,326
751,690,1
752,631,589
753,780,537
754,145,388
755,255,252
756,637,92
757,670,548
758,363,69
759,249,691
760,856,699
761,726,235
762,697,74
763,422,920
764,348,486
765,164,83
766,998,199
767,403,410
768,67,456
769,538,308
770,331,795
771,286,983
772,806,6
773,263,401
774,468,357
775,281,896
776,312,501
777,56,418
778,311,578
779,998,206
780,557,589
781,847,53
782,365,784
783,380,112
784,945,753
785,610,964
786,164,678
787,288,763
788,757,62
789,44,557
790,885,18
791,292,574
792,668,52
793,460,741
794,561,869
795,222,965
796,882,772
797,722,664
798,896,593
799,868,399
800,958,321
801,83,667
802,263,327
803,891,406
804,457,244
805,651,468
806,386,497
807,988,789
808,487,501
809,781,939
810,268,364
811,160,11
812,182,557
813,340,652
814,740,195
815,393,317
816,597,892
817,432,900
818,632,787
819,643,777
820,322,869
821,682,635
822,817,184
823,302,554
824,879,251
825,68,193
826,230,590
827,365,256
828,552,894
829,188,258
830,319,44
831,687,499
832,949,793
833,794,585
834,495,247
835,558,802
836,208,504
837,166,611
838,850,283
839,549,629
840,541,661
841,69,153
842,173,849
843,267,771
844,153,821
845,968,723
846,607,38
847,897,220
848,429,714
849,541,985
850,258,352
851,314,181
852,159,872
853,918,889
854,359,157
855,364,890
856,113,436
857,335,829
858,472,320
859,436,419
860,81,449
861,778,608
862,321,899
863,627,821
864,522,134
865,353,474
866,629,786
867,863,294
868,770,652
869,872,172
870,417,826
871,65,395
872,960,927
873,965,429
874,782,808
875,763,466
876,498,474
877,895,658
878,29,384
879,389,775
880,746,69
881,61,946
882,774,140
883,327,852
884,558,785
885,395,937
886,54,188
887,843,811
888,413,100
889,409,309
890,339,236
891,20,957
892,512,699
893,122,81
894,852,385
895,511,36
896,951,824
897,289,766
898,358,295
899,210,887
900,314,675
901,850,501
902,941,36
903,248,667
904,865,766
905,799,210
906,857,600
907,493,234
908,143,999
909,149,350
910,735,548
911,993,55
912,378,558
913,400,698
914,102,912
915,735,494
916,912,269
917,297,459
918,316,255
919,96,17
920,195,148
921,425,929
922,771,431
923,456,429
924,637,904
925,719,219
926,326,131
927,949,78
928,950,548
929,940,373
930,126,814
931,489,915
932,136,781
933,225,215
934,50,607
935,200,234
936,863,761
937,176,411
938,4,812
939,873,38
940,148,481
941,656,932
942,176,66
943,632,633
944,528,442
945,448,981
946,498,120
947,991,850
948,451,52
949,924,154
950,115,395
951,686,960
952,814,369
953,1000,857
954,199,342
955,898,196
956,439,802
957,205,750
958,666,587
959,551,387
960,837,700
961,415,148
962,922,105
963,394,212
964,643,644
965,499,591
966,865,134
967,557,818
968,51,536
969,671,598
970,348,864
971,47,823
972,524,868
973,434,926
974,503,313
975,534,456
976,903,441
977,691,477
978,141,583
979,528,638
980,294,466
981,618,636
982,753,744
983,436,969
984,818,969
985,609,139
986,868,571
987,180,575
988,205,751
989,944,485
990,317,482
991,845,592
992,239,956
993,827,143
994,139,751
995,591,219
996,846,236
997,852,69
998,136,708
999,198,108
1000,118,271
