id,product_id,wishlist_id
1,3662,1
2,4506,2
3,2150,2
4,4258,2
5,3272,2
6,2637,3
7,2273,4
8,2530,4
9,4840,4
10,3018,5
11,3032,5
12,2788,5
13,1700,5
14,3635,6
15,4828,7
16,1371,7
17,3811,7
18,2694,8
19,4555,8
20,71,8
21,630,8
22,4676,9
23,3051,10
24,988,11
25,2083,11
26,3037,12
27,994,12
28,723,12
29,152,13
30,2450,13
31,4231,13
32,2826,14
33,3995,14
34,4602,15
35,1516,15
36,2664,16
37,3647,16
38,991,16
39,3179,16
40,4564,17
41,2253,17
42,4398,18
43,4876,18
44,804,18
45,2796,18
46,3055,19
47,4307,19
48,1035,19
49,4723,20
50,1359,20
51,264,21
52,137,21
53,2722,21
54,1102,22
55,3847,22
56,3520,22
57,485,23
58,848,23
59,3616,23
60,3315,23
61,4770,24
62,725,24
63,286,25
64,2495,25
65,4578,25
66,4939,26
67,1501,26
68,1841,26
69,4662,27
70,4697,27
71,3101,27
72,4048,28
73,2754,28
74,3520,28
75,3802,29
76,222,29
77,3491,29
78,1141,30
79,1366,30
80,1495,30
81,533,31
82,1436,32
83,1785,32
84,4090,33
85,2035,33
86,3393,34
87,3090,34
88,309,34
89,2477,34
90,4743,35
91,394,35
92,3152,35
93,2213,36
94,2901,37
95,108,38
96,3464,39
97,1839,39
98,2004,39
99,400,39
100,607,40
101,1537,41
102,1932,41
103,4414,42
104,2677,43
105,2859,44
106,3145,44
107,1951,45
108,3048,46
109,4251,47
110,3412,48
111,1636,48
112,2285,49
113,3945,49
114,4615,50
115,3372,50
116,3793,50
117,2550,51
118,453,51
119,3375,52
120,2566,53
121,3318,53
122,2157,53
123,1614,53
124,3995,54
125,3410,54
126,3606,55
127,3862,56
128,1897,56
129,2128,56
130,4437,57
131,382,57
132,2361,57
133,3736,58
134,1435,58
135,2941,58
136,2963,58
137,3052,59
138,2317,59
139,4297,60
140,171,60
141,1207,60
142,780,60
143,2360,61
144,2295,61
145,276,61
146,466,61
147,4341,62
148,410,62
149,4914,62
150,2533,62
151,3801,63
152,3014,63
153,283,63
154,1579,64
155,1748,64
156,4765,65
157,4256,66
158,3910,67
159,3170,67
160,404,67
161,4624,68
162,3223,68
163,843,69
164,4971,69
165,3636,69
166,3144,70
167,2174,70
168,3419,71
169,4008,71
170,1074,71
171,1205,71
172,3691,72
173,1964,72
174,1429,72
175,418,72
176,4103,73
177,966,73
178,2594,73
179,328,74
180,4162,74
181,2941,74
182,358,74
183,3986,75
184,605,75
185,1816,76
186,1502,76
187,2158,76
188,2078,76
189,2078,77
190,2531,77
191,4434,78
192,1172,78
193,4623,79
194,1693,79
195,3992,79
196,2236,80
197,3108,81
198,4526,81
199,1845,82
200,3646,82
201,1660,83
202,2774,84
203,270,84
204,909,84
205,4078,85
206,1074,85
207,2048,86
208,342,87
209,776,87
210,3490,87
211,2050,87
212,217,88
213,653,88
214,4998,89
215,3843,90
216,2413,90
217,3719,91
218,2982,92
219,662,92
220,295,93
221,3274,93
222,3685,94
223,2890,94
224,479,94
225,4453,95
226,3427,95
227,3223,95
228,239,96
229,860,97
230,1757,97
231,1180,98
232,522,99
233,829,99
234,4264,99
235,1920,99
236,1220,100
237,817,100
238,2967,100
239,1427,101
240,2227,101
241,3038,101
242,3873,101
243,228,102
244,1596,102
245,755,103
246,3877,103
247,2531,103
248,2099,104
249,351,104
250,809,104
251,2809,105
252,2131,105
253,4677,105
254,146,105
255,1948,106
256,561,106
257,460,107
258,292,107
259,3013,108
260,3083,109
261,3254,109
262,3807,110
263,3361,110
264,1438,110
265,360,111
266,2730,111
267,50,111
268,2479,111
269,4545,112
270,2733,112
271,3432,112
272,511,113
273,1952,113
274,4255,114
275,2366,115
276,4766,115
277,2285,116
278,1164,117
279,2683,117
280,4301,117
281,4044,117
282,3124,118
283,3428,118
284,2577,119
285,1427,119
286,1876,119
287,1055,119
288,2922,120
289,2156,120
290,3828,120
291,3782,121
292,2093,121
293,4800,121
294,3720,122
295,262,123
296,2881,123
297,4609,123
298,2155,124
299,4372,125
300,1142,125
301,2810,125
302,1023,125
303,1940,126
304,4012,127
305,2175,127
306,3735,127
307,883,127
308,2964,128
309,1898,128
310,4361,128
311,27,128
312,4944,129
313,388,129
314,2303,129
315,4863,130
316,2972,131
317,3608,131
318,1782,131
319,4712,132
320,4062,132
321,627,132
322,4276,132
323,714,133
324,14,134
325,4024,134
326,829,134
327,1751,134
328,1041,135
329,140,135
330,2356,135
331,3800,136
332,1386,136
333,1335,136
334,4728,136
335,2838,137
336,3786,137
337,3233,137
338,1293,137
339,2448,138
340,2576,138
341,4502,139
342,1947,139
343,4952,139
344,3535,140
345,2335,140
346,750,140
347,1695,141
348,4749,142
349,1213,142
350,2117,143
351,1406,143
352,3233,143
353,4356,143
354,125,144
355,2165,144
356,1099,144
357,1878,144
358,2272,145
359,2365,146
360,4314,146
361,4681,147
362,2124,148
363,2731,148
